id,unit_id,value,base_value,last_modified_user_id,last_modified_date,created_user_id,created_date,selectable
89,1,"59",84,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
90,1,"61",86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
91,1,"62",87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
92,1,"63",88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
93,1,"64",89,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
94,1,"66",91,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
95,1,"67",92,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
96,1,"68",93,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
97,1,"69",94,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
98,1,"71",96,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
99,1,"72",97,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
100,1,"73",98,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
101,1,"74",99,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
102,1,"76",101,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
103,1,"77",102,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
104,1,"78",103,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
105,1,"79",104,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
106,1,"81",106,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
107,1,"82",107,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
108,1,"83",108,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
109,1,"84",109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
110,1,"86",111,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
111,1,"87",112,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
112,1,"88",113,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
113,1,"89",114,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
114,1,"91",116,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
115,1,"92",117,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
116,1,"93",118,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
117,1,"94",119,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
118,1,"96",121,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
119,1,"97",122,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
120,1,"98",123,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
121,1,"99",124,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
122,1,"101",126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
123,1,"102",127,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
124,1,"103",128,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
125,1,"104",129,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
126,1,"101",126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
127,1,"102",127,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
128,1,"103",128,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
129,1,"104",129,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
130,1,"105",130,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
131,1,"106",131,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
132,1,"107",132,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
133,1,"108",133,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
134,1,"109",134,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
135,1,"110",135,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
136,1,"111",136,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
